tahun,jenis_ternak,jumlah_peternak,satuan_peternak
2010,Sapi perah  ,127,orang
2010,Sapi potong,0,orang
2010,Kerbau,12,orang
2010,Kambing/ Domba,362,orang
2010,Ayam ras,14,orang
2010,Itik,104,orang
2011,Sapi perah  ,135,orang
2011,Sapi potong,0,orang
2011,Kerbau,15,orang
2011,Kambing/ Domba,340,orang
2011,Ayam ras,13,orang
2011,Itik,87,orang
2012,Sapi perah  ,116,orang
2012,Sapi potong,92,orang
2012,Kerbau,24,orang
2012,Kambing/ Domba,564,orang
2012,Ayam ras,15,orang
2012,Itik,114,orang
2013,Sapi perah  ,133,orang
2013,Sapi potong,200,orang
2013,Kerbau,48,orang
2013,Kambing/ Domba,496,orang
2013,Ayam ras,0,orang
2013,Itik,301,orang
2014,Sapi perah  ,113,orang
2015,Sapi perah  ,115,orang
2016,Sapi perah  ,87,orang
2017,Sapi perah  ,87,orang
