Kab/Kota,2016,2017,2018,2019,2020
Barito Selatan,11131,18823,10449,13661,10508
Barito Timur,2279,1097,8093,2695,2741
Barito Utara,5238,8395,11859,11979,12935
Gunung Mas,3580,261,9138,5634,5326
Kapuas,38628,39397,35515,34928,37062
Katingan,6152,3729,21151,25250,24813
Kotawaringin Barat,19947,21991,26741,35268,42402
Kotawaringin Timur,20206,32094,24021,34739,38028
Lamandau,2899,1026,6786,2488,2679
Murung Raya,2310,265,4007,2386,2729
Pulang Pisau,23058,23357,20822,23417,24279
Seruyan,34307,31989,24847,29254,34671
Sukamara,5136,6344,9004,7081,6907
Palangka Raya,12342,18774,18407,22804,25916
