Komoditas,2016,2017,2018,2019,2020
Baung Hias,10.552,1.2,0.0,0.0,184.0
kalochroma,1.5,0.0,0.0,0.0,0.0
Kulliloach,24.9,20.0,0.0,0.0,22.3
Rhombo,1.12,252.0,1600.0,2.75,0.0
Seluang,5.05,2.08,1450.0,1.05,15.14
Silli,304.0,341.0,0.0,2.0,91.0
Gurame Cokelat,3.525,8.2,2250.0,10.95,500.0
,,,,,
Botia,80.875,107.15,166.65,201.6,108.63
Kerandang,611.0,5.0,0.0,2.0,0.0
Julung- julung,2.11,0.0,0.0,0.0,3.26
Tiger Fish,2.0,16.0,0.0,6.0,12.0
Bagarius,3.0,0.0,0.0,0.0,0.0
Tapah,2.0,0.0,0.0,0.0,35.0
Betutu,3.0,0.0,0.0,840.0,987.0
Pari,2.0,0.0,0.0,0.0,3.0
Cupang,2.3,1.8,0.0,30.0,1.772
Lais Kaca,0.0,1.2,1500.0,0.0,0.0
Sepat Hijau,0.0,0.0,0.0,1.06,2.05
Appolo Shark,0.0,0.0,0.0,400.0,0.0
Ikan Sebelah,0.0,50.0,0.0,20.0,0.0
Betutu,0.0,0.0,0.0,840.0,54.0
Buntal,0.0,0.0,0.0,0.0,24.0
Flying Fox,0.0,0.0,0.0,0.0,1.7
Botia Hijau,0.0,0.0,0.0,0.0,1.4
Gabus,0.0,0.0,0.0,0.0,541.0
Kepala Kuda,1.1,300.0,,,
Peyang,0.0,0.0,0.0,0.0,1.95
