Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
No.;Kabupaten_Kota;2016;2017;2018;2019;2020;Rangking
1.;Barito Selatan;11131;18823;10449;13661;10508;8
2.;Barito Timur;2279;1097;8093;2695;2741;12
3.;Barito Utara;5238;8395;11859;11979;12935;9
4.;Gunung Mas;3580;261;9138;5634;5326;11
5.;Kapuas;38628;39397;35515;34928;37062;3
6.;Katingan;6152;3729;21151;25250;24813;7
7.;Kotawaringin Barat;19947;21991;26741;35268;42402;1
8.;Kotawaringin Timur;20206;32094;24021;34739;38028;2
9.;Lamandau;2899;1026;6786;2488;2679;13
10.;Murung Raya;2310;265;4007;2386;2729;14
11.;Pulang Pisau;23058;23357;20822;23417;24279;5
12.;Seruyan;34307;31989;24847;29254;34671;4
13.;Sukamara;5136;6344;9004;7081;6907;10
14.;Palangka Raya;12342;18774;18407;22804;25916;6
