Volume ekspor (Ekor);;;;;;;
No;Komoditas;2016;2017;2018;2019;2020;Total
1;Baung Hias;10.552;1.200;0;0;184;11.936
2;kalochroma;1.500;0;0;0;0;1.500
3;Kulliloach;24.900;20;0;0;22.300;47.220
4;Rhombo;1.120;252;1600;2.750;0;5.722
5;Seluang;5.050;2.080;1450;1.050;15.140;24.770
6;Silli;304;341;0;2;91;738
;Gurame Cokelat;3.525;8.200;2250;10.950;500;25.425
7;;;;;;;
8;Botia;80.875;107.150;166.650;201.600;108.630;664.905
9;Kerandang;611;5;0;2;0;618
10;Julung- julung;2.110;0;0;0;3.260;5.370
11;Tiger Fish;2;16;0;6;12;36
12;Bagarius;3;0;0;0;0;3
13;Tapah;2;0;0;0;35;37
14;Betutu;3;0;0;840;987;1.830
15;Pari;2;0;0;0;3;5
16;Cupang;2.300;1.800;0;30;1.772;5.902
17;Lais Kaca;0;1.200;1500;0;0;2.700
18;Sepat Hijau;0;0;0;1.060;2.050;3.110
19;Appolo Shark;0;0;0;400;0;400
20;Ikan Sebelah;0;50;0;20;0;70
21;Betutu;0;0;0;840;54;894
22;Buntal;0;0;0;0;24;24
23;Flying Fox;0;0;0;0;1.700;1.700
24;Botia Hijau;0;0;0;0;1.400;1.400
25;Gabus;0;0;0;0;541;541
26;Kepala Kuda;1.100;300;;;;1.400
27;Peyang;0;0;0;0;1.950;1.950
